ObjectId(58f872becf14c629743c62ec),深圳市纺织(集团)股份有限公司,广东省深圳市福田区华强北路3号深纺大厦6楼
ObjectId(58f872becf14c629743c62ed),深圳南山热电股份有限公司,广东省深圳市南山区月亮湾大道2097号
ObjectId(58f872becf14c629743c62ee),杭州汽轮机股份有限公司,浙江省杭州市石桥路357号
ObjectId(58f872becf14c629743c62ef),本钢板材股份有限公司,辽宁省本溪市平山区钢铁路18号
ObjectId(58f872becf14c629743c62f0),鲁泰纺织股份有限公司,山东省淄博市高新技术开发区铭波路11号
ObjectId(58f872becf14c629743c62f1),分众传媒信息技术股份有限公司,广东省广州市黄埔区中新知识城凤凰三路8号2号楼2130室
ObjectId(58f872becf14c629743c62f2),山东威达机械股份有限公司,山东省威海临港经济技术开发区苘山镇中韩路2号
ObjectId(58f872becf14c629743c62f3),贵州航天电器股份有限公司,贵州省贵阳经济技术开发区红河路7号
ObjectId(58f872becf14c629743c62f4),苏宁云商集团股份有限公司,江苏省南京市山西路8号金山大厦1-5层
ObjectId(58f872becf14c629743c62f5),广东水电二局股份有限公司,广东省广州市增城区新塘镇广深大道西1号1幢水电广场A-1商务中心20层
ObjectId(58f872becf14c629743c62f6),云南旅游股份有限公司,云南省昆明市白龙路世博园
ObjectId(58f872becf14c629743c62f7),国脉科技股份有限公司,福建省福州市马尾区江滨东大道116号
ObjectId(58f872becf14c629743c62f8),新疆中泰化学股份有限公司,新疆维吾尔自治区乌鲁木齐市经济技术开发区阳澄湖路39号
ObjectId(58f872becf14c629743c62f9),江苏国泰国际集团国贸股份有限公司,江苏省张家港市国泰时代广场11-24楼
ObjectId(58f872becf14c629743c62fa),江苏金智科技股份有限公司,江苏省南京市江宁开发区将军大道100号
ObjectId(58f872becf14c629743c62fb),苏州新海宜通信科技股份有限公司,江苏省苏州工业园区泾茂路168号
ObjectId(58f872becf14c629743c62fc),内蒙古霍林河露天煤业股份有限公司,内蒙古自治区霍林郭勒市哲里木大街（霍矿珠斯花区）
ObjectId(58f872becf14c629743c62fd),江苏常铝铝业股份有限公司,江苏省常熟市白茆镇西
ObjectId(58f872becf14c629743c62fe),南极电商股份有限公司,江苏省吴江市盛泽镇五龙路22号
ObjectId(58f872becf14c629743c62ff),武汉三特索道集团股份有限公司,湖北省武汉市武昌区黄鹂路88号1号楼
ObjectId(58f872becf14c629743c6300),上海汉钟精机股份有限公司,上海市金山区枫泾工业开发区亭枫公路8289号
ObjectId(58f872becf14c629743c6301),江西正邦科技股份有限公司,江西省南昌市高新技术开发区艾溪湖一路569号
ObjectId(58f872becf14c629743c6302),通富微电子股份有限公司,江苏省南通市崇川开发区崇川路288号
ObjectId(58f872becf14c629743c6303),深圳劲嘉集团股份有限公司,广东省深圳市南山区高新技术产业园区科技中二路劲嘉科技大厦18-19层
ObjectId(58f872becf14c629743c6304),四川成飞集成科技股份有限公司,四川省成都市青羊区日月大道666号一栋
